,station_name,station_id,station_longitude,station_latitude,station_altitude,date,temperature_max,temperature_min,temperature_mean,precipitation
1792009,JAHROM (AIRPORT),88184.0,53.5917,28.5856,1031.0,2017-09-11 00:00:00,,,31.0,
1792918,JAJARM,99295.0,56.33333333,36.95,984.0,2006-10-01 00:00:00,29.8,12.0,23.4,0.0
1798682,JAM,88187.0,52.35583333,27.815,659.0,2000-01-01 00:00:00,23.8,8.0,17.4,0.0
1806878,JAMKARAN,18956.0,50.91,34.58,,2018-08-06 00:00:00,42.3,,37.6,
1808306,JANGAL ARASSBARAN,18051.0,46.75,38.42,1100.0,2000-08-09 00:00:00,28.4,,,
1813372,JANGALBANI-BADROUD NATANZ,19118.0,52.0,33.7,1056.0,2000-01-01 00:00:00,13.0,-4.5,4.25,
1821461,JANGALBANI-ZAVAREH-ARDESTAN,19139.0,52.483,33.45,976.0,2012-07-01 00:00:00,32.2,17.0,24.6,
1821704,JASK,40893.0,57.76972222,25.63777778,5.2,2000-01-01 00:00:00,25.6,17.0,22.9,0.0
1829933,JAVANRUD,99427.0,46.5,34.76666667,1375.0,2006-01-01 00:00:00,9.3,-3.2,3.5,0.0
1835964,JIRANDEH,40805.0,49.80166667,36.70805556,1581.4,2006-08-01 00:00:00,26.6,11.8,20.2,0.0
1841788,JIRKEL,18572.0,50.2341667,36.89,498.0,2019-05-11 00:00:00,21.0,,17.1,
1842294,JIROFT,99550.0,57.76666667,28.7,722.0,2008-01-01 00:00:00,20.0,6.8,13.2,0.0
1847601,JIROFT (AIRPORT),88180.0,57.67166667,28.72972222,775.0,2021-05-10 00:00:00,,14.8,16.8,
1847622,JIROFT (MIANDEH),40866.0,57.81666667,28.58333333,639.0,2000-01-01 00:00:00,23.0,3.0,16.0,0.0
1851259,JOGHATAY,99324.0,57.06666667,36.63333333,1335.0,2017-04-24 00:00:00,29.0,16.9,23.1,0.0
1853099,JOGHTAY,18399.0,57.0333,36.6,1373.0,2000-04-13 00:00:00,19.8,,,
1853361,JOLFA,40702.0,45.6,38.9333,736.2,2000-01-01 00:00:00,12.0,-3.6,3.2,0.0
1860166,JOLFA,18031.0,45.6333,38.9333,704.0,2018-08-18 00:00:00,,,,
1861591,JOONABAD,19809.0,60.97,28.95,1725.0,2007-06-01 00:00:00,29.2,24.8,27.0,
1866610,KABUTARABAD,40803.0,51.83333333,32.51666667,1542.5,2000-01-01 00:00:00,17.0,-3.2,7.6,0.0
1874839,KAHAK,99440.0,50.8689,34.4033,1403.1,2004-01-01 00:00:00,2.8,-3.4,0.4,0.0
1881595,KAHNUJ,40877.0,57.71333333,27.99416667,499.0,2000-01-01 00:00:00,25.0,4.2,13.7,0.0
1889824,KAHRIZ,18106.0,44.983,37.883,1325.0,2000-01-01 00:00:00,10.0,-3.4,3.3,
